Input1,IMG1,Input2,IMG2,Gap,Situation,Note
623H,<img src='623H.png'></img>,623H,<img src='623H.png'></img>,51f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,DI-623H,<img src='DI-623H.png'></img>,51f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,j623S,<img src='j623S.png'></img>,53f,Ground Non-Jump Cancel,nan <br> 
623H,<img src='623H.png'></img>,j623H,<img src='j623H.png'></img>,55f,Ground Non-Jump Cancel,nan <br> 
623H,<img src='623H.png'></img>,236K,<img src='236K.png'></img>,43f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,SS-236K,<img src='SS-236K.png'></img>,43f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,DI-236K,<img src='DI-236K.png'></img>,43f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,214K,<img src='214K.png'></img>,62f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
623H,<img src='623H.png'></img>,SS-214K,<img src='SS-214K.png'></img>,62f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
623H,<img src='623H.png'></img>,DI-214K,<img src='DI-214K.png'></img>,62f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
623H,<img src='623H.png'></img>,214S,<img src='214S.png'></img>,52f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,SS-214S,<img src='SS-214S.png'></img>,52f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,DI-214S,<img src='DI-214S.png'></img>,52f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,632146H,<img src='632146H.png'></img>,47f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,DI-632146H,<img src='DI-632146H.png'></img>,47f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,j632146H,<img src='j632146H.png'></img>,51f,Ground Non-Jump Cancel,nan <br> 
623H,<img src='623H.png'></img>,236236P,<img src='236236P.png'></img>,45f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,SS-236236P,<img src='SS-236236P.png'></img>,45f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,DI-236236P,<img src='DI-236236P.png'></img>,45f,Ground Non-Gatling,nan <br> 
623H,<img src='623H.png'></img>,214214H,<img src='214214H.png'></img>,50f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,5P,<img src='5P.png'></img>,27f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,5K,<img src='5K.png'></img>,29f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,cS,<img src='cS.png'></img>,29f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,fS,<img src='fS.png'></img>,34f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,5H,<img src='5H.png'></img>,36f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,2P,<img src='2P.png'></img>,27f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,2K,<img src='2K.png'></img>,28f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,2S,<img src='2S.png'></img>,32f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,2H,<img src='2H.png'></img>,33f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,jP,<img src='jP.png'></img>,32f,Ground Non-Jump Cancel,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,jK,<img src='jK.png'></img>,33f,Ground Non-Jump Cancel,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,jS,<img src='jS.png'></img>,33f,Ground Non-Jump Cancel,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,jH,<img src='jH.png'></img>,39f,Ground Non-Jump Cancel,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,jD,<img src='jD.png'></img>,39f,Ground Non-Jump Cancel,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,6P,<img src='6P.png'></img>,31f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,6K,<img src='6K.png'></img>,47f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,6H,<img src='6H.png'></img>,37f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,2D,<img src='2D.png'></img>,32f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,5D,<img src='5D.png'></img>,42f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,5[D],<img src='5[D].png'></img>,50f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,236S,<img src='236S.png'></img>,35f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,DI-236S,<img src='DI-236S.png'></img>,35f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,236H,<img src='236H.png'></img>,61f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,SS-236H,<img src='SS-236H.png'></img>,61f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,DI-236H,<img src='DI-236H.png'></img>,61f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,j236S,<img src='j236S.png'></img>,47f,Ground Non-Jump Cancel,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,j236H,<img src='j236H.png'></img>,47f,Ground Non-Jump Cancel,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,623S,<img src='623S.png'></img>,33f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,DI-623S,<img src='DI-623S.png'></img>,33f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,623H,<img src='623H.png'></img>,35f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,DI-623H,<img src='DI-623H.png'></img>,35f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,j623S,<img src='j623S.png'></img>,37f,Ground Non-Jump Cancel,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,j623H,<img src='j623H.png'></img>,39f,Ground Non-Jump Cancel,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,236K,<img src='236K.png'></img>,27f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,SS-236K,<img src='SS-236K.png'></img>,27f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,DI-236K,<img src='DI-236K.png'></img>,27f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,214K,<img src='214K.png'></img>,46f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
DI-623H,<img src='DI-623H.png'></img>,SS-214K,<img src='SS-214K.png'></img>,46f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
DI-623H,<img src='DI-623H.png'></img>,DI-214K,<img src='DI-214K.png'></img>,46f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
DI-623H,<img src='DI-623H.png'></img>,214S,<img src='214S.png'></img>,36f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,SS-214S,<img src='SS-214S.png'></img>,36f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,DI-214S,<img src='DI-214S.png'></img>,36f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,632146H,<img src='632146H.png'></img>,31f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,DI-632146H,<img src='DI-632146H.png'></img>,31f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,j632146H,<img src='j632146H.png'></img>,35f,Ground Non-Jump Cancel,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,236236P,<img src='236236P.png'></img>,29f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,SS-236236P,<img src='SS-236236P.png'></img>,29f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,DI-236236P,<img src='DI-236236P.png'></img>,29f,Ground Non-Gatling,nan <br> 
DI-623H,<img src='DI-623H.png'></img>,214214H,<img src='214214H.png'></img>,34f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,5P,<img src='5P.png'></img>,13f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,5K,<img src='5K.png'></img>,15f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,cS,<img src='cS.png'></img>,15f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,fS,<img src='fS.png'></img>,20f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,5H,<img src='5H.png'></img>,22f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,2P,<img src='2P.png'></img>,13f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,2K,<img src='2K.png'></img>,14f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,2S,<img src='2S.png'></img>,18f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,2H,<img src='2H.png'></img>,19f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,jP,<img src='jP.png'></img>,18f,Ground Non-Jump Cancel,nan <br> 
214S,<img src='214S.png'></img>,jK,<img src='jK.png'></img>,19f,Ground Non-Jump Cancel,nan <br> 
214S,<img src='214S.png'></img>,jS,<img src='jS.png'></img>,19f,Ground Non-Jump Cancel,nan <br> 
214S,<img src='214S.png'></img>,jH,<img src='jH.png'></img>,25f,Ground Non-Jump Cancel,nan <br> 
214S,<img src='214S.png'></img>,jD,<img src='jD.png'></img>,25f,Ground Non-Jump Cancel,nan <br> 
214S,<img src='214S.png'></img>,6P,<img src='6P.png'></img>,17f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,6K,<img src='6K.png'></img>,33f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,6H,<img src='6H.png'></img>,23f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,2D,<img src='2D.png'></img>,18f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,5D,<img src='5D.png'></img>,28f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,5[D],<img src='5[D].png'></img>,36f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,236S,<img src='236S.png'></img>,21f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,DI-236S,<img src='DI-236S.png'></img>,21f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,236H,<img src='236H.png'></img>,47f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,SS-236H,<img src='SS-236H.png'></img>,47f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,DI-236H,<img src='DI-236H.png'></img>,47f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,j236S,<img src='j236S.png'></img>,33f,Ground Non-Jump Cancel,nan <br> 
214S,<img src='214S.png'></img>,j236H,<img src='j236H.png'></img>,33f,Ground Non-Jump Cancel,nan <br> 
214S,<img src='214S.png'></img>,623S,<img src='623S.png'></img>,19f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,DI-623S,<img src='DI-623S.png'></img>,19f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,623H,<img src='623H.png'></img>,21f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,DI-623H,<img src='DI-623H.png'></img>,21f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,j623S,<img src='j623S.png'></img>,23f,Ground Non-Jump Cancel,nan <br> 
214S,<img src='214S.png'></img>,j623H,<img src='j623H.png'></img>,25f,Ground Non-Jump Cancel,nan <br> 
214S,<img src='214S.png'></img>,236K,<img src='236K.png'></img>,13f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,SS-236K,<img src='SS-236K.png'></img>,13f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,DI-236K,<img src='DI-236K.png'></img>,13f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,214K,<img src='214K.png'></img>,32f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
214S,<img src='214S.png'></img>,SS-214K,<img src='SS-214K.png'></img>,32f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
214S,<img src='214S.png'></img>,DI-214K,<img src='DI-214K.png'></img>,32f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
214S,<img src='214S.png'></img>,214S,<img src='214S.png'></img>,22f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,SS-214S,<img src='SS-214S.png'></img>,22f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,DI-214S,<img src='DI-214S.png'></img>,22f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,632146H,<img src='632146H.png'></img>,17f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,DI-632146H,<img src='DI-632146H.png'></img>,17f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,j632146H,<img src='j632146H.png'></img>,21f,Ground Non-Jump Cancel,nan <br> 
214S,<img src='214S.png'></img>,236236P,<img src='236236P.png'></img>,15f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,SS-236236P,<img src='SS-236236P.png'></img>,15f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,DI-236236P,<img src='DI-236236P.png'></img>,15f,Ground Non-Gatling,nan <br> 
214S,<img src='214S.png'></img>,214214H,<img src='214214H.png'></img>,20f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,5P,<img src='5P.png'></img>,11f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,5K,<img src='5K.png'></img>,13f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,cS,<img src='cS.png'></img>,13f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,fS,<img src='fS.png'></img>,18f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,5H,<img src='5H.png'></img>,20f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,2P,<img src='2P.png'></img>,11f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,2K,<img src='2K.png'></img>,12f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,2S,<img src='2S.png'></img>,16f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,2H,<img src='2H.png'></img>,17f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,jP,<img src='jP.png'></img>,16f,Ground Non-Jump Cancel,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,jK,<img src='jK.png'></img>,17f,Ground Non-Jump Cancel,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,jS,<img src='jS.png'></img>,17f,Ground Non-Jump Cancel,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,jH,<img src='jH.png'></img>,23f,Ground Non-Jump Cancel,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,jD,<img src='jD.png'></img>,23f,Ground Non-Jump Cancel,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,6P,<img src='6P.png'></img>,15f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,6K,<img src='6K.png'></img>,31f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,6H,<img src='6H.png'></img>,21f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,2D,<img src='2D.png'></img>,16f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,5D,<img src='5D.png'></img>,26f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,5[D],<img src='5[D].png'></img>,34f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,236S,<img src='236S.png'></img>,19f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,DI-236S,<img src='DI-236S.png'></img>,19f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,236H,<img src='236H.png'></img>,45f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,SS-236H,<img src='SS-236H.png'></img>,45f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,DI-236H,<img src='DI-236H.png'></img>,45f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,j236S,<img src='j236S.png'></img>,31f,Ground Non-Jump Cancel,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,j236H,<img src='j236H.png'></img>,31f,Ground Non-Jump Cancel,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,623S,<img src='623S.png'></img>,17f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,DI-623S,<img src='DI-623S.png'></img>,17f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,623H,<img src='623H.png'></img>,19f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,DI-623H,<img src='DI-623H.png'></img>,19f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,j623S,<img src='j623S.png'></img>,21f,Ground Non-Jump Cancel,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,j623H,<img src='j623H.png'></img>,23f,Ground Non-Jump Cancel,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,236K,<img src='236K.png'></img>,11f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,SS-236K,<img src='SS-236K.png'></img>,11f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,DI-236K,<img src='DI-236K.png'></img>,11f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,214K,<img src='214K.png'></img>,30f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
SS-214S,<img src='SS-214S.png'></img>,SS-214K,<img src='SS-214K.png'></img>,30f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
SS-214S,<img src='SS-214S.png'></img>,DI-214K,<img src='DI-214K.png'></img>,30f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
SS-214S,<img src='SS-214S.png'></img>,214S,<img src='214S.png'></img>,20f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,SS-214S,<img src='SS-214S.png'></img>,20f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,DI-214S,<img src='DI-214S.png'></img>,20f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,632146H,<img src='632146H.png'></img>,15f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,DI-632146H,<img src='DI-632146H.png'></img>,15f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,j632146H,<img src='j632146H.png'></img>,19f,Ground Non-Jump Cancel,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,236236P,<img src='236236P.png'></img>,13f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,SS-236236P,<img src='SS-236236P.png'></img>,13f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,DI-236236P,<img src='DI-236236P.png'></img>,13f,Ground Non-Gatling,nan <br> 
SS-214S,<img src='SS-214S.png'></img>,214214H,<img src='214214H.png'></img>,18f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,5P,<img src='5P.png'></img>,11f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,5K,<img src='5K.png'></img>,13f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,cS,<img src='cS.png'></img>,13f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,fS,<img src='fS.png'></img>,18f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,5H,<img src='5H.png'></img>,20f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,2P,<img src='2P.png'></img>,11f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,2K,<img src='2K.png'></img>,12f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,2S,<img src='2S.png'></img>,16f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,2H,<img src='2H.png'></img>,17f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,jP,<img src='jP.png'></img>,16f,Ground Non-Jump Cancel,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,jK,<img src='jK.png'></img>,17f,Ground Non-Jump Cancel,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,jS,<img src='jS.png'></img>,17f,Ground Non-Jump Cancel,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,jH,<img src='jH.png'></img>,23f,Ground Non-Jump Cancel,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,jD,<img src='jD.png'></img>,23f,Ground Non-Jump Cancel,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,6P,<img src='6P.png'></img>,15f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,6K,<img src='6K.png'></img>,31f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,6H,<img src='6H.png'></img>,21f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,2D,<img src='2D.png'></img>,16f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,5D,<img src='5D.png'></img>,26f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,5[D],<img src='5[D].png'></img>,34f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,236S,<img src='236S.png'></img>,19f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,DI-236S,<img src='DI-236S.png'></img>,19f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,236H,<img src='236H.png'></img>,45f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,SS-236H,<img src='SS-236H.png'></img>,45f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,DI-236H,<img src='DI-236H.png'></img>,45f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,j236S,<img src='j236S.png'></img>,31f,Ground Non-Jump Cancel,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,j236H,<img src='j236H.png'></img>,31f,Ground Non-Jump Cancel,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,623S,<img src='623S.png'></img>,17f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,DI-623S,<img src='DI-623S.png'></img>,17f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,623H,<img src='623H.png'></img>,19f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,DI-623H,<img src='DI-623H.png'></img>,19f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,j623S,<img src='j623S.png'></img>,21f,Ground Non-Jump Cancel,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,j623H,<img src='j623H.png'></img>,23f,Ground Non-Jump Cancel,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,236K,<img src='236K.png'></img>,11f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,SS-236K,<img src='SS-236K.png'></img>,11f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,DI-236K,<img src='DI-236K.png'></img>,11f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,214K,<img src='214K.png'></img>,30f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
DI-214S,<img src='DI-214S.png'></img>,SS-214K,<img src='SS-214K.png'></img>,30f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
DI-214S,<img src='DI-214S.png'></img>,DI-214K,<img src='DI-214K.png'></img>,30f,Ground Non-Gatling,The gap is +2f bigger when crouching <br> 
DI-214S,<img src='DI-214S.png'></img>,214S,<img src='214S.png'></img>,20f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,SS-214S,<img src='SS-214S.png'></img>,20f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,DI-214S,<img src='DI-214S.png'></img>,20f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,632146H,<img src='632146H.png'></img>,15f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,DI-632146H,<img src='DI-632146H.png'></img>,15f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,j632146H,<img src='j632146H.png'></img>,19f,Ground Non-Jump Cancel,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,236236P,<img src='236236P.png'></img>,13f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,SS-236236P,<img src='SS-236236P.png'></img>,13f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,DI-236236P,<img src='DI-236236P.png'></img>,13f,Ground Non-Gatling,nan <br> 
DI-214S,<img src='DI-214S.png'></img>,214214H,<img src='214214H.png'></img>,18f,Ground Non-Gatling,nan <br> 
632146H,<img src='632146H.png'></img>,5P,<img src='5P.png'></img>,87f,Ground Non-Gatling,nan <br> 
632146H,<img src='632146H.png'></img>,5K,<img src='5K.png'></img>,89f,Ground Non-Gatling,nan <br> 
632146H,<img src='632146H.png'></img>,cS,<img src='cS.png'></img>,89f,Ground Non-Gatling,nan <br> 
632146H,<img src='632146H.png'></img>,fS,<img src='fS.png'></img>,94f,Ground Non-Gatling,nan <br> 
632146H,<img src='632146H.png'></img>,5H,<img src='5H.png'></img>,96f,Ground Non-Gatling,nan <br> 
632146H,<img src='632146H.png'></img>,2P,<img src='2P.png'></img>,87f,Ground Non-Gatling,nan <br> 
632146H,<img src='632146H.png'></img>,2K,<img src='2K.png'></img>,88f,Ground Non-Gatling,nan <br> 
632146H,<img src='632146H.png'></img>,2S,<img src='2S.png'></img>,92f,Ground Non-Gatling,nan <br> 
632146H,<img src='632146H.png'></img>,2H,<img src='2H.png'></img>,93f,Ground Non-Gatling,nan <br> 
632146H,<img src='632146H.png'></img>,jP,<img src='jP.png'></img>,92f,Ground Non-Jump Cancel,nan <br> 
632146H,<img src='632146H.png'></img>,jK,<img src='jK.png'></img>,93f,Ground Non-Jump Cancel,nan <br> 
632146H,<img src='632146H.png'></img>,jS,<img src='jS.png'></img>,93f,Ground Non-Jump Cancel,nan <br> 
632146H,<img src='632146H.png'></img>,jH,<img src='jH.png'></img>,99f,Ground Non-Jump Cancel,nan <br> 
632146H,<img src='632146H.png'></img>,jD,<img src='jD.png'></img>,99f,Ground Non-Jump Cancel,nan <br> 
